full_name,gender,date_of_birth
Doretta Mundie,F,08/11/1900
Skippy Ratledge,M,03/02/1906
Sim Skrine,M,12/07/1949
Atalanta Preon,F,05/31/1975
Joela Slingsby,F,06/21/1954
Seline Leist,F,06/01/1952
Bertie Narducci,M,04/23/1955
Paddy Morteo,M,03/01/2014
Boonie Pawellek,M,02/07/1935
Rosalinda Grzelak,F,10/05/1922
Teodor Sauter,M,12/13/1932
Chlo Pentelow,F,05/05/1922
Devan Janicek,F,09/05/2020
Merridie Dickins,F,12/17/1921
Demetris Wakley,F,05/03/1927
Jenine Sexstone,F,11/18/1985
Caritta Callaway,F,03/09/1940
Yale Goudy,M,05/11/1902
Seana Pagan,F,06/07/1911
Tiena Tyres,F,07/09/1984
Laird Gwyllt,M,06/09/1934
Maryann Millington,F,04/22/1970
Timothee Kainz,M,10/20/1988
Elyn Bothbie,F,08/01/1961
Farlay Espinoza,M,12/19/1985
Caressa Crebo,U,12/08/1991
Khalil Cariss,M,06/18/1972
Say McCroft,M,09/11/1998
Winthrop Maybey,M,04/03/1957
Gene Pollington,M,01/25/2018
Arlen Birtwisle,F,08/25/1931
Blaine Ary,M,10/08/1949
Morgan Kemery,F,08/01/1965
Jone Kitteringham,M,06/17/1967
Zaneta Helin,F,07/18/1912
Caresa Stutely,F,02/25/1942
Carolee Varty,F,04/12/1946
Heriberto Hemphill,M,10/08/1952
Pauletta de Leon,F,08/20/1949
Hastie McCague,U,06/10/1985
Colin Le Port,M,07/31/1902
Obadiah O'Dreain,M,11/10/1988
Lemuel Markl,U,08/13/1912
Felicle Van der Beek,F,12/28/2010
Eddy Bjerkan,M,12/30/2014
Gilbertine MacRirie,F,10/04/2000
Rubi Avrashin,F,04/22/1985
Melvin Darrach,U,11/13/1972
Dana Albinson,M,10/08/1958
Vania Sibery,F,12/27/1919
Leonid Datte,U,08/30/1957
Yolande Siaspinski,F,04/18/1911
Gwendolin Veysey,F,06/24/1968
Huntley Rontree,M,05/07/2014
Carlen Hush,F,09/23/2012
Liza Abrahmer,F,07/31/2017
Clarabelle Pedrocchi,F,05/02/1932
Isahella Francisco,F,10/02/1903
Modesty Kennewell,F,03/02/1961
Iain Clempton,M,07/07/1971
Che Causey,M,12/09/1927
Bealle Marchent,M,09/15/1922
Berte Goalley,F,01/13/2010
Sol Farman,M,04/06/1951
Lorrie Primett,F,12/11/1999
Morganne Scyone,F,04/19/1926
Lesly Cadamy,F,03/26/1901
Penn Mursell,M,06/16/2019
Gus Bloodworthe,U,09/12/1954
Ingeborg Sabberton,F,09/04/1982
Reidar Kennler,M,09/05/2012
Yevette Margetson,U,05/10/1990
Mariya Sarjent,F,09/03/1966
Ardine Toombes,F,06/02/1967
Gypsy Reynalds,F,06/22/1917
Creight Maryska,M,09/15/1996
Guthrie Leavold,M,03/13/1977
Lonna Syddon,O,03/21/2015
Dulcine Larchiere,F,07/12/1970
Adamo Lindenbaum,M,06/22/1991
Murdoch Plumm,M,10/14/1992
Devondra Duro,F,08/05/1926
Chico Wasylkiewicz,M,05/12/1993
Eloise Klaiser,F,02/16/1987
Conni Antonomoli,U,01/20/1955
Terra O'Neal,F,02/14/1950
Vachel Quipp,M,08/17/1959
Vikky Ciardo,U,11/04/1973
Mara Steventon,F,06/06/1930
Chiquita Huffey,F,04/25/1940
Glennis Whitmore,F,08/21/1974
Camila Rickett,F,06/13/1957
Karina Dana,F,10/17/2011
Lissa Tomasino,F,11/05/1982
Rozella Ruggier,F,08/31/1919
Selma Tooting,F,05/30/1923
Shela Tangye,F,01/29/1916
Adriaens Cristea,F,07/19/1945
Frankie Leyrroyd,M,04/19/2017
Breanne Yallowley,F,06/02/2007
Darya Chiplin,F,02/11/1925
Harp McCanny,M,06/08/1912
Bev Bovey,M,06/03/1916
Cece Swayland,M,05/02/1998
Dicky Durant,M,03/21/1952
Jocelyn De Domenico,F,10/22/1995
Lammond Leere,U,06/24/1950
Robina Abrami,F,11/04/1942
Pierson Housam,M,01/18/2018
Rochester Braybrookes,M,10/27/1980
Melody Segges,F,08/03/2012
Emmeline Berrington,F,09/20/1961
Adaline Diggle,F,04/08/1996
Bax Hamel,M,12/07/1970
Marchall Biaggelli,M,06/19/1929
Philippa Birtles,F,08/23/1961
Emlynne Thumann,F,10/24/2013
Beniamino Capper,M,03/10/1959
Benedict Cringle,M,06/12/1910
Willy Penke,M,03/20/2003
Silvio Tousey,M,07/04/1950
Ola Dominec,F,05/12/1996
Amelia Josland,F,01/29/1921
Hadleigh Ingley,M,05/27/1957
Corney Cowlard,M,02/13/1930
Llywellyn Fissenden,M,09/29/1983
Maurizia Cowderay,F,11/21/1932
Bianca Bartoletti,F,01/04/1985
Thaine Pindell,M,06/10/1913
Lizzy Roughsedge,F,07/24/1961
Sande Mandal,F,10/10/1948
George Hainsworth,M,03/12/1901
Nerte Kitcher,F,06/24/1929
Ransom Kenway,M,04/13/2019
Corbie Mavin,M,09/01/1963
David Ashbe,M,12/17/1999
Dom Stainburn,M,03/28/1988
Morna Husthwaite,F,07/10/1956
Marcela Lamming,F,12/10/1912
Andros Bohin,M,09/19/1902
Gearard Elcoat,M,08/31/1918
Debee Petegree,F,07/12/1957
Hyacintha Gilham,F,01/20/2020
Nerta Bedder,F,11/21/1956
Dyna Livard,F,10/04/2014
Aurel Panniers,F,10/31/1911
Carolann Laurentino,F,11/24/1992
Rodolph Mac,M,01/18/1948
Tamarra Crowne,F,03/07/1977
Hastings Swindells,U,12/12/1991
Ulrich Sizey,M,07/20/1970
Yanaton Van Halen,M,03/08/1945
Imelda Castelot,F,05/18/1964
Danny Backshell,F,03/18/1992
Noak Illesley,M,08/16/1994
Dick Van Leijs,M,07/29/1976
Giselbert Yeend,M,02/26/2010
Hillel Gebhardt,M,09/26/1914
Torrie Rubinovitch,F,10/08/1904
Cameron McPheat,M,03/30/1903
Onfre Blakeborough,M,05/19/1914
Justino Cheeney,M,04/27/1904
Huey McSharry,M,03/04/1963
Nerti Tocqueville,F,01/15/1990
Allissa Devericks,F,11/19/1911
Dolly Pomfret,F,07/19/1947
Yolanda Niess,F,04/21/1916
Frannie Kubu,F,06/24/1943
Pearline Biernat,F,08/10/1986
Carolyn Poveleye,F,10/07/2018
Bethany Vittel,F,04/12/1946
Natasha Boag,F,03/20/2016
Angelico Jentle,M,02/05/1963
Cheryl Heddon,F,12/09/1954
Dimitri Janusz,M,06/02/1985
Tull Mathet,M,06/15/1938
Sallee Worthington,F,01/10/2002
Rosina Mansion,F,04/20/1923
Kennie Pakeman,M,12/30/1994
Thane Throssell,M,12/28/1907
Carlyle Poytress,M,11/16/1949
Tobi Iacomi,F,06/18/1958
Mireielle Hanhardt,F,09/14/1958
Isabelle Dallaghan,F,05/07/1940
Bonny Heavens,F,12/15/1901
Aubree Mattson,F,01/27/1995
Field Cancellieri,M,07/31/1960
Wit Brocklehurst,M,05/14/1998
Derrick Bigadike,M,03/06/1979
Harlen Sustin,M,09/26/1922
Pate Dewberry,M,04/11/1931
Curtice Noir,M,04/20/2009
Lee Janoch,M,07/13/1964
Winfield Cortin,M,03/26/1946
Tremain Larive,M,04/04/1917
Ximenez Henriques,M,05/07/2012
Neila Alwood,F,09/05/2008
Pierce Yukhtin,M,07/25/1901
Joey Playfair,M,01/10/1942
Chris Caldero,F,04/05/1983
Archy Phlipon,M,08/08/1968
Osborne Hattoe,M,04/01/2001
Lucina Hemphall,F,01/09/1990
Mada Andrasch,F,02/01/1931
Kath Abramson,F,11/03/1994
Jakie Henaughan,M,10/28/1993
Kirstyn Nottingham,F,12/30/1948
Beverie Earley,F,05/22/1980
Ekaterina Beckensall,F,12/24/1909
Sarita Ouver,U,06/01/1963
Sarene Hawksby,F,04/22/1950
Thebault Seaward,M,12/10/1956
Zonda Everex,F,12/16/1942
Emmie Extence,F,03/23/1946
Travus McLenaghan,U,08/12/1968
Katha Baird,F,07/31/1953
Cletis Trudgian,M,08/29/1976
Florian Rao,M,07/13/1935
Clemmie Helkin,M,06/11/2016
Bondon Tiplady,M,12/18/1932
Robbie Goodlatt,F,04/07/1908
Euell Stolting,M,07/28/1909
Mauricio McCromley,M,07/23/1976
Bradan Goodrich,M,05/19/1994
Gerry Manes,M,10/28/1911
Pavia McMickan,F,02/19/1983
Noach Goodall,M,10/05/1951
Cyndie Ruberti,F,09/15/1991
Aleen Wabe,F,10/19/1905
Marie-jeanne Wadeling,F,06/24/2020
Dall Berre,M,10/02/1904
Fayre Byram,F,11/08/1911
Agata Cull,U,06/08/1947
Anastassia Danilin,F,10/30/2017
Yance Langeley,M,08/01/1976
Cross Fyall,U,12/22/1998
Prissie Fakes,F,03/20/2006
